기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,매출액(수익),영업활동으로인한현금흐름,영업이익,주당배당금,EBITDA,날짜,시가총액,주가,주식수,GP/A,ROE,PBR,유동비율,NCAV,PER,PSR,PCR,2013-당기순이익,2012-당기순이익,2011-당기순이익,2010-당기순이익,2009-당기순이익,2013-자본총계,2012-자본총계,2011-자본총계,2010-자본총계,2009-자본총계,증자
00100939,1,1,000860,강남제비스코,490785440147.0,399739719387.0,55079919331.0,244190000000.0,59579999999.0,41690000000.0,96500000000.0,377500000000.0,41560000000.0,38100000000.0,50000000000.0,54620000000.0,2015-08-03,334750000000.0,53100.0,53100.0,0.11222810382170764,0.10429286352612528,0.8374199104190557,4.0985229943621775,0.4411949215832711,8.029503478052291,0.8867549668874172,8.054619826756497,23050000000.0,21930000000.0,17040000000.0,21830000000.0,24720000000.0,266000000000.0,243500000000.0,225100000000.0,274500000000.0,256000000000.0,0
00101044,1,1,003060,에이프로젠제약,84828017989.0,62113229535.0,10856391183.0,48580000000.0,10400000000.0,-4400000000.0,22710000000.0,33089999999.0,-6920000000.0,-5350000000.0,0.0,-2400000000.0,2015-08-03,,,,0.12798119584036247,-0.07083837103528254,,4.671153846153846,,,,,-14900000000.0,-25260000000.0,-4670000000.0,-700000000.0,-8100000000.0,58300000000.0,64700000000.0,72700000000.0,42800000000.0,25000000000.0,0
00101549,1,1,011040,경동제약,227679293781.0,190430469701.0,90668957392.0,102740000000.0,32000000000.0,24320000000.0,37250000000.0,153260000000.0,23130000000.0,35380000000.0,30000000000.0,36480000000.0,2015-08-03,298023750000.0,24350.0,24350.0,0.39823101998556176,0.12771065490824807,1.5650003409009865,3.210625,0.21974758723088345,12.25426603618421,1.9445631606420464,12.884727626459146,18740000000.0,7959999999.0,20240000000.0,19980000000.0,13480000000.0,169300000000.0,153900000000.0,150500000000.0,138200000000.0,123700000000.0,0
00102353,1,1,024910,경창산업,475258490610.0,123288708388.0,64698997889.0,164330000000.0,250430000000.0,24860000000.0,351970000000.0,552780000000.0,71780000000.0,28420000000.0,4900000000.0,87750000000.0,2015-08-03,113262000000.0,6500.0,6500.0,0.13613433356226431,0.20164052592524107,0.918672938348538,0.6561913508764924,-1.6566897988734086,4.5559935639581655,0.2048952567024856,1.5779047088325442,23050000000.0,9410000000.0,4310000000.0,10990000000.0,2800000000.0,88100000000.0,77000000000.0,64000000000.0,69200000000.0,53400000000.0,0
00102432,1,1,013580,계룡건설산업,1238256091695.0,301688105366.0,6006892586.0,773780000000.0,808890000000.0,-111070000000.0,936570000000.0,1633250000000.0,-950000000.0,-103659999999.0,0.0,-109750000000.0,2015-08-03,96900340950.0,11050.0,11050.0,0.0048510906801010785,-0.3681616809693336,0.32119377339203703,0.9565948398422528,-1.6799734490511098,-0.8724258661204646,0.0593297663860401,-102.00035889473685,-92180000000.0,2580000000.0,5510000000.0,14250000000.0,30760000000.0,362100000000.0,452600000000.0,453200000000.0,466300000000.0,454300000000.0,0
00102751,1,1,002140,고려산업,156033056392.0,76117815450.0,28159910588.0,82280000000.0,73990000000.0,9050000000.0,79920000000.0,185090000000.0,16940000000.0,10690000000.0,4500000000.0,12660000000.0,2015-08-03,59854620000.0,2405.0,2405.0,0.1804740049265855,0.11889463651179967,0.7863417998289387,1.1120421678605217,0.039428869484093285,6.613770165745858,0.3233811659192825,3.5333305785123965,3760000000.0,4690000000.0,4160000000.0,5660000000.0,8790000000.0,61700000000.0,58400000000.0,54600000000.0,55200000000.0,49000000000.0,0
00104388,1,1,007690,국도화학,637431454801.0,379074201205.0,85829297381.0,372560000000.0,0.0,20940000000.0,258360000000.0,977960000000.0,15850000000.0,31550000000.0,100000000000.0,42680000000.0,2015-08-03,461943972000.0,80800.0,80800.0,0.13464866964840178,0.05523984468854907,1.2186109488104804,inf,0.2472161277601865,22.060361604584532,0.4723546689026136,29.144730094637232,28110000000.0,26370000000.0,21900000000.0,26470000000.0,22660000000.0,339400000000.0,317300000000.0,295600000000.0,280600000000.0,226000000000.0,0
00104786,1,1,007120,미래아이앤지,48844886895.0,37819308853.0,4850396396.0,5840000000.0,6550000000.0,-18680000000.0,11030000000.0,18790000000.0,-3060000000.0,-5990000000.0,0.0,-17240000000.0,2015-08-03,70649657760.0,1315.0,1315.0,0.09930202943097632,-0.4939275879579755,1.8680843173154853,0.8916030534351145,-0.07346107772567928,-3.782101593147752,3.7599604981373065,-23.088123450980397,-11790000000.0,200000000.0,1530000000.0,-2330000000.0,-1980000000.0,18600000000.0,24900000000.0,23800000000.0,21800000000.0,15100000000.0,1
00105271,1,1,002380,케이씨씨,8654534050524.0,6229307774138.0,798217305211.0,2561230000000.0,900350000000.0,326690000000.0,2425230000000.0,3399830000000.0,276510000000.0,273390000000.0,900000000000.0,643810000000.0,2015-08-03,4960180000000.0,488000.0,488000.0,0.09223111268048807,0.05244402939220751,0.7962650393664937,2.8447048370078303,0.027418359817587255,15.183139979797366,1.4589494180591382,17.938519402553254,223319999999.0,406590000000.0,291710000000.0,326640000000.0,360850000000.0,4990100000000.0,4869000000000.0,4942700000000.0,5785700000000.0,4573400000000.0,0
00105961,1,1,011070,LG이노텍,4428761036738.0,1696490074045.0,862865548237.0,2082009999999.0,1646620000000.0,112680000000.0,2732270000000.0,6466120000000.0,743030000000.0,313960000000.0,25000000000.0,791810000000.0,2015-08-03,1869701453000.0,82700.0,82700.0,0.19483226597218767,0.06641948675321936,1.10209984815414,1.264414376115315,-0.3477881449777105,16.59301963968761,0.2891535345771498,2.516320273743994,-50040000000.0,-41030000000.0,-164340000000.0,204440000000.0,78230000000.0,1220700000000.0,1238300000000.0,1295800000000.0,1472600000000.0,908700000000.0,0
00108065,1,1,015540,쎌마테라퓨틱스,11991188812.0,9343939688.0,-114165878.0,5280000000.0,2430000000.0,-12810000000.0,2650000000.0,99540000000.0,-1590000000.0,-4250000000.0,0.0,-11390000000.0,2015-08-03,175293315270.0,6000.0,6000.0,-0.009520813973486121,-1.370942068092681,18.76010774075536,2.1728395061728394,0.015003424380154343,-13.684099552693207,1.7610339086799276,-110.24736809433962,-3979999999.0,-5660000000.0,-8990000000.0,-5800000000.0,-4980000000.0,11300000000.0,12800000000.0,11400000000.0,16900000000.0,23200000000.0,1
00108649,1,1,048770,TPC,87136906267.0,31759403950.0,17564050310.0,52750000000.0,43510000000.0,2430000000.0,55379999999.0,78620000000.0,-3629999999.0,950000000.0,2500000000.0,5010000000.0,2015-08-03,81270000000.0,6360.0,6360.0,0.20156844054322087,0.07651277095205057,2.5589271173963577,1.2123649735692943,-0.03236126490709978,33.44444444444444,1.0337064360213686,-22.388429758233727,320000000.0,2550000000.0,6770000000.0,3460000000.0,-1739999999.0,29200000000.0,27100000000.0,25200000000.0,19200000000.0,16100000000.0,0
00109514,1,1,004870,티웨이홀딩스,115512018892.0,40775109738.0,32228557873.0,38250000000.0,37710000000.0,7200000000.0,74740000000.0,236210000000.0,20180000000.0,7970000000.0,0.0,12810000000.0,2015-08-03,157843250000.0,10550.0,10550.0,0.2790060998166144,0.1765783107945881,3.8710686743510934,1.0143198090692125,-0.23117871685992275,21.92267361111111,0.6682327166504382,7.821766600594647,-409999999.0,-3020000000.0,-5640000000.0,-21600000000.0,-14840000000.0,27900000000.0,18300000000.0,5600000000.0,10100000000.0,18200000000.0,0
00110583,1,1,025440,대성엘텍,110449028793.0,26963344295.0,20112971816.0,49310000000.0,58760000000.0,2030000000.0,83490000000.0,392610000000.0,11940000000.0,6990000000.0,0.0,12770000000.0,2015-08-03,62635810466.0,920.0,920.0,0.18210184404332866,0.07528739676318405,2.3229985783927773,0.8391763104152484,-0.5456942242098648,30.85507904729064,0.15953697171748046,5.245880273534338,-35870000000.0,-650000000.0,-14500000000.0,1050000000.0,-10580000000.0,22900000000.0,36000000000.0,27500000000.0,37800000000.0,25100000000.0,0
00111704,1,1,042660,대우조선해양,17735815981361.0,2026815805786.0,130040000000.0,9832280000000.0,11010820000000.0,-852750000000.0,15709000000000.0,15561560000000.0,-560230000000.0,-565060000000.0,192400000000.0,-668730000000.0,2015-08-03,1341649213580.0,6900.0,6900.0,0.007332056226601708,-0.4207338415092452,0.6619492554527953,0.8929652832395769,-4.380220955311269,-1.5733206843506302,0.08621559879472238,-2.3948185809042712,-920410000000.0,-317650000000.0,654210000000.0,1114860000000.0,266710000000.0,2898300000000.0,3837500000000.0,4293400000000.0,3864200000000.0,2743900000000.0,0
00111865,1,1,028040,미래SCI,39597874339.0,11238320394.0,-2380704418.0,5370000000.0,23690000000.0,-10890000000.0,28360000000.0,7659999999.0,-5650000000.0,-4690000000.0,0.0,-7909999999.0,2015-08-03,14361906432.0,422.0,422.0,-0.06012202568296049,-0.9690060096359272,1.2779406466884182,0.2266779231743352,-1.6007624133224825,-1.3188160176308539,1.8749225109497287,-2.5419303419469026,-5440000000.0,-15630000000.0,-6000000000.0,-1939999999.0,14140000000.0,14800000000.0,7000000000.0,22500000000.0,26100000000.0,17800000000.0,1
00111874,1,1,005710,대원산업,366270527968.0,180106282355.0,46311961938.0,258400000000.0,163290000000.0,13180000000.0,186160000000.0,712950000000.0,33830000000.0,18710000000.0,11400000000.0,37970000000.0,2015-08-03,120407760000.0,6630.0,6630.0,0.12644195588143564,0.07317901312304836,0.6685372571439194,1.58246065282626,0.5999613313959167,9.135641881638847,0.16888668209551866,3.5592007094295006,22890000000.0,24790000000.0,16400000000.0,12120000000.0,7450000000.0,156400000000.0,134200000000.0,111200000000.0,88700000000.0,77200000000.0,1
00112819,1,1,017680,데코앤이,53560000000.0,26010000000.0,44770000000.0,37310000000.0,23310000000.0,-6509999999.0,27560000000.0,107120000000.0,320000000.0,-8090000000.0,0.0,-4070000000.0,2015-08-03,77252931360.0,1525.0,1525.0,0.8358849887976102,-0.25028835059592464,2.9701242352941177,1.6006006006006006,0.12620880306230492,-11.866809734541752,0.7211812113517551,241.4154105,14030000000.0,-1689999999.0,-1230000000.0,-15810000000.0,-5310000000.0,31800000000.0,17700000000.0,17600000000.0,17200000000.0,13000000000.0,0
00112970,1,1,001070,대한방직,364449487508.0,171324942010.0,6420367907.0,92090000000.0,145240000000.0,-11530000000.0,193120000000.0,244390000000.0,18740000000.0,-8420000000.0,0.0,-5220000000.0,2015-08-03,138330000000.0,129500.0,129500.0,0.017616619386408294,-0.0672990159210269,0.8074130851999697,0.6340539796199394,-0.7303549483120075,-11.997398091934086,0.5660215229755718,7.38153681963714,5230000000.0,-9610000000.0,-10930000000.0,7450000000.0,-14869999999.0,89300000000.0,84300000000.0,93900000000.0,93600000000.0,86300000000.0,0
00113261,1,1,010170,대한광통신,158048607210.0,74397193194.0,12293901438.0,57529999999.0,75770000000.0,-27270000000.0,83650000000.0,106000000000.0,-1989999999.0,850000000.0,0.0,-15130000000.0,2015-08-03,51188659570.0,1080.0,1080.0,0.0777855727742354,-0.3665460863407852,0.6880455750060241,0.7592714794641678,-0.5102692709755595,-1.877105228089476,0.482911882735849,-25.72294452046379,-33880000000.0,-4470000000.0,-560000000.0,-12250000000.0,2440000000.0,101700000000.0,111000000000.0,99900000000.0,48200000000.0,61000000000.0,0
00113410,1,1,000120,CJ대한통운,4542856098587.0,2280660482808.0,478598002387.0,1264510000000.0,869979999999.0,59450000000.0,2262200000000.0,4560090000000.0,259800000000.0,167080000000.0,0.0,260430000000.0,2015-08-03,4037784888000.0,173000.0,173000.0,0.10535178574902736,0.026067010170143283,1.7704454119486428,1.4534931837530214,-0.2470884476696769,67.91900568544996,0.8854616658881732,15.541897182448034,-48280000000.0,71860000000.0,53240000000.0,68279999999.0,6530000000.0,2236800000000.0,2291100000000.0,2223600000000.0,1914100000000.0,1820900000000.0,0
00114154,1,1,024900,덕양산업,217036944537.0,60807748604.0,10768904248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000000.0,0.0,2015-08-03,75713578500.0,2390.0,2390.0,0.049617839354369184,0.0,1.2451304354823536,,0.0,inf,inf,inf,1320000000.0,4090000000.0,7020000000.0,2470000000.0,2900000000.0,55800000000.0,54700000000.0,68200000000.0,61400000000.0,60400000000.0,0
00114808,1,1,086450,동국제약,244165973780.0,176565037118.0,127973631063.0,173160000000.0,52770000000.0,21000000000.0,67600000000.0,226010000000.0,22740000000.0,26550000000.0,30000000000.0,31970000000.0,2015-08-03,509511600000.0,61800.0,61800.0,0.5241255736080066,0.11893634403942335,2.8856879499846206,3.2814098919840817,0.20717879632181094,24.262457142857148,2.2543763550285387,22.405963060686016,16810000000.0,22310000000.0,20220000000.0,16850000000.0,12890000000.0,161900000000.0,147700000000.0,131000000000.0,113200000000.0,99700000000.0,0
00115977,1,1,010780,아이에스동서,1228484606385.0,465705824447.0,199653761613.0,646210000000.0,540600000000.0,50430000000.0,762780000000.0,801590000000.0,164050000000.0,80290000000.0,40000000000.0,146770000000.0,2015-08-03,2204089633200.0,82400.0,82400.0,0.16252036091889754,0.10828724347582047,4.732793788476308,1.1953570107288198,-0.05288804876358783,43.70592173706128,2.7496471178532667,13.435474752819262,21330000000.0,9880000000.0,12780000000.0,18160000000.0,22620000000.0,379800000000.0,366100000000.0,361900000000.0,323300000000.0,293500000000.0,0
00116824,1,1,000640,동아쏘시오홀딩스,1081069661479.0,534480000000.0,191538588807.0,355840000000.0,428530000000.0,6490000000.0,546589999999.0,630630000000.0,-7920000000.0,20830000000.0,100000000000.0,56950000000.0,2015-08-03,759825560500.0,173000.0,173000.0,0.17717506617007278,0.012142643316868727,1.4216164505687772,0.8303736027816022,-0.25104446324953555,117.07635755007703,1.2048674508031652,-95.937570770202,-11190000000.0,67750000000.0,60650000000.0,70410000000.0,63260000000.0,340700000000.0,746300000000.0,732400000000.0,728900000000.0,580100000000.0,1
00117212,1,1,000150,두산,31369299869190.0,8902340737895.0,3373498974123.0,12276980000000.0,12648270000000.0,33250000000.0,22466960000000.0,20312360000000.0,646790000000.0,997940000000.0,400000000000.0,1169950000000.0,2015-08-03,2148359688000.0,103000.0,103000.0,0.1075414175066225,0.0037349727424455022,0.2413252594180067,0.9706449973000258,-4.743144296049555,64.61232144360903,0.10576612899731984,3.321572207362513,149690000000.0,85410000000.0,155320000000.0,262380000000.0,232300000000.0,1995400000000.0,1983600000000.0,1968100000000.0,2044900000000.0,1815600000000.0,0
00118044,1,1,030720,동원수산,99712286936.0,34235555770.0,-980822771.0,54440000000.0,25500000000.0,-7509999999.0,65479999999.0,110180000000.0,2630000000.0,-11770000000.0,0.0,-2970000000.0,2015-08-03,44655699000.0,11150.0,11150.0,-0.009836528688079714,-0.21936258460220112,1.3043661186634214,2.1349019607843136,-0.2472248838608483,-5.946164980818398,0.40529768560537305,16.979353231939164,-8650000000.0,2430000000.0,3990000000.0,4700000000.0,1540000000.0,38700000000.0,40800000000.0,39900000000.0,33500000000.0,27900000000.0,0
00119007,1,1,009580,무림P&P,1149695431995.0,546921572500.0,73780367669.0,270530000000.0,260410000000.0,-10330000000.0,602770000000.0,639400000000.0,98610000000.0,13150000000.0,17500000000.0,62790000000.0,2015-08-03,408512522200.0,6350.0,6350.0,0.06417383736227708,-0.01888753437312989,0.7469307168350906,1.0388617948619483,-0.8132920827267606,-39.546226737657314,0.6388997844854551,4.1427088753676085,29300000000.0,28089999999.0,11160000000.0,58550000000.0,6270000000.0,568300000000.0,553700000000.0,544400000000.0,550600000000.0,491400000000.0,0
00120021,1,1,003550,LG,17332707000000.0,12585835000000.0,1503473000000.0,3851210000000.0,2896800000000.0,834260000000.0,4746870000000.0,9865400000000.0,600270000000.0,1044110000000.0,100000000000.0,1319040000000.0,2015-08-03,10129103589700.0,57100.0,57100.0,0.08674196131048659,0.06628562983703505,0.8048018736698836,1.3294704501518917,-0.08842440913633971,12.141423045213726,1.0267301467451904,16.874245905509188,355980000000.0,408120000000.0,395500000000.0,421110000000.0,1538390000000.0,7589900000000.0,7408600000000.0,7176100000000.0,6973400000000.0,7399400000000.0,0
00120289,1,1,026040,제이에스티나,119804318090.0,75933842390.0,108104211588.0,88040000000.0,43830000000.0,8960000000.0,43870000000.0,158610000000.0,1700000000.0,10350000000.0,10000000000.0,14960000000.0,2015-08-03,236829386500.0,14800.0,14800.0,0.9023398597936128,0.11799745301944545,3.1188911168702944,2.0086698608259184,0.18650557117412453,26.431851171875,1.4931554536283966,139.31140382352942,8250000000.0,7320000000.0,4320000000.0,7009999999.0,7259999999.0,62400000000.0,54500000000.0,45300000000.0,40600000000.0,34100000000.0,0
00120377,1,1,000420,로케트전기,83190000000.0,-4129999999.0,-610000000.0,31689999999.0,77160000000.0,-12080000000.0,87320000000.0,28560000000.0,-570000000.0,-8670000000.0,0.0,-6859999999.0,2015-08-03,,,,-0.007332612092799616,2.9249394680205665,,0.4107050284992224,,,,,-23980000000.0,-12610000000.0,-2730000000.0,3170000000.0,1650000000.0,7900000000.0,20600000000.0,28500000000.0,30000000000.0,27500000000.0,1
00120571,1,1,005300,롯데칠성음료,4099992950758.0,2316617962069.0,913361587752.0,831690000000.0,1012050000000.0,20550000000.0,1783370000000.0,2184100000000.0,145050000000.0,93000000000.0,49000000000.0,179100000000.0,2015-08-03,2590703082000.0,2213000.0,2213000.0,0.22277150198103127,0.00887069009067276,1.1183126110643686,0.8217874610938195,-0.3673442960763035,126.06827649635036,1.1861650483036492,17.86075892450879,91350000000.0,87930000000.0,52390000000.0,36630000000.0,8780000000.0,2420500000000.0,2276200000000.0,2138900000000.0,2140700000000.0,1989800000000.0,0
00124726,1,1,005180,빙그레,578852361832.0,484011944168.0,234369002920.0,311550000000.0,72380000000.0,37570000000.0,94840000000.0,820020000000.0,44360000000.0,41700000000.0,125000000000.0,68070000000.0,2015-08-03,823563747600.0,82900.0,82900.0,0.40488562952088425,0.07762205138259873,1.7015360003474251,4.304365846919039,0.2631368860413399,21.92078114453021,1.004321538011268,18.56545869251578,37490000000.0,50750000000.0,39900000000.0,48910000000.0,48790000000.0,464900000000.0,436400000000.0,394800000000.0,373800000000.0,329700000000.0,0
00125965,1,1,111870,삼본전자,89870974053.0,79615692403.0,12818067628.0,77870000000.0,10170000000.0,1620000000.0,10260000000.0,53410000000.0,-11200000000.0,2950000000.0,6300000000.0,1980000000.0,2015-08-03,77900000000.0,8150.0,8150.0,0.14262744743859956,0.020347747423960817,0.9784503236583628,7.6568338249754175,0.8679075738125802,48.086419753086425,1.4585283654746302,-6.955357142857142,7470000000.0,6620000000.0,8459999999.0,13780000000.0,12040000000.0,81600000000.0,76500000000.0,71600000000.0,67900000000.0,37200000000.0,0
00126487,1,1,007700,F&F,322662217698.0,189525032113.0,181589655843.0,155120000000.0,68790000000.0,13980000000.0,133140000000.0,301410000000.0,-18590000000.0,12070000000.0,15000000000.0,26450000000.0,2015-08-03,299530000000.0,17950.0,17950.0,0.5627856187766033,0.07376334325939986,1.5804244782895591,2.2549789213548483,0.0733816312222482,21.425608011444922,0.9937626488835803,-16.11242603550296,8290000000.0,6720000000.0,18430000000.0,27500000000.0,15710000000.0,173100000000.0,166400000000.0,162000000000.0,150400000000.0,122600000000.0,0
00128555,1,1,004690,삼천리,3659823478411.0,1318184721795.0,257283957568.0,1176260000000.0,858340000000.0,11640000000.0,2341640000000.0,3736250000000.0,-61390000000.0,27330000000.0,200000000000.0,106109999999.0,2015-08-03,496740562500.0,126000.0,126000.0,0.07029955381337298,0.008830325376666151,0.37683683802948187,1.3703893561991751,-2.3460536303596107,42.67530605670103,0.1329516393442623,-8.091555017103763,44300000000.0,40210000000.0,34930000000.0,70730000000.0,120800000000.0,1190900000000.0,1155000000000.0,1124200000000.0,830900000000.0,817300000000.0,0
00128980,1,1,010960,삼호개발,198353328874.0,121843440130.0,17717914318.0,111620000000.0,68710000000.0,3600000000.0,76510000000.0,210840000000.0,20660000000.0,5560000000.0,10000000000.0,6110000000.0,2015-08-03,85250000000.0,3365.0,3365.0,0.08932501621515489,0.029546112586438838,0.6996683605538642,1.6245088051229806,0.4118475073313783,23.680555555555557,0.4043350407892241,4.1263310745401744,6380000000.0,10100000000.0,6440000000.0,12830000000.0,13040000000.0,129100000000.0,125300000000.0,116100000000.0,99900000000.0,79800000000.0,0
00129387,1,1,000390,삼화페인트공업,505069755998.0,279662083423.0,107466455328.0,261560000000.0,135580000000.0,35530000000.0,225410000000.0,526730000000.0,50500000000.0,45830000000.0,40000000000.0,59990000000.0,2015-08-03,470400000000.0,20450.0,20450.0,0.2127754712131794,0.12704618218215682,1.6820299492959914,1.9291930963268917,0.07684948979591838,13.2395159020546,0.8930571640119226,9.314851485148512,15619999999.0,12670000000.0,10570000000.0,7950000000.0,16150000000.0,231200000000.0,215400000000.0,205900000000.0,201900000000.0,200600000000.0,0
00134510,1,1,033530,세종공업,858809961341.0,378678372168.0,159690989073.0,514720000000.0,411630000000.0,22620000000.0,480130000000.0,1116740000000.0,30320000000.0,42130000000.0,15000000000.0,68210000000.0,2015-08-03,207563350500.0,10250.0,10250.0,0.18594450025200968,0.0597340689685987,0.5481257070787102,1.2504433593275517,0.1666479169693303,9.176098607427058,0.18586542122606872,6.845756942612137,27020000000.0,15330000000.0,30460000000.0,47110000000.0,38680000000.0,277500000000.0,251700000000.0,240700000000.0,232200000000.0,188400000000.0,0
00136004,1,1,025870,신라에스지,53240594452.0,19120000000.0,5475160148.0,29000000000.0,24670000000.0,380000000.0,34120000000.0,76510000000.0,-2039999999.0,1320000000.0,0.0,2520000000.0,2015-08-03,23160000000.0,5730.0,5730.0,0.10283807317245916,0.0198744769874477,1.211297071129707,1.1755168220510739,-0.22107081174438686,60.94736842105264,0.30270552868906025,-11.352941182035757,509999999.0,650000000.0,-1200000000.0,509999999.0,300000000.0,19400000000.0,18600000000.0,18500000000.0,22700000000.0,21300000000.0,0
00136624,1,1,005800,신영와코루,300720370762.0,272122516339.0,22596994463.0,117309999999.0,15540000000.0,1570000000.0,28600000000.0,40720000000.0,-4960000000.0,310000000.0,150000000000.0,1960000000.0,2015-08-03,143100000000.0,153500.0,153500.0,0.0751428790997468,0.0057694600987893,0.5258660765202222,7.548906048841699,0.6199161425506639,91.1464968152866,3.5142436149312384,-28.85080645161291,11250000000.0,14330000000.0,17210000000.0,15590000000.0,13390000000.0,265000000000.0,257600000000.0,251300000000.0,234800000000.0,220300000000.0,0
00137359,1,1,019170,신풍제약,409295444304.0,191514375218.0,100963610341.0,211319999999.0,180510000000.0,3350000000.0,217780000000.0,220290000000.0,-50000000.0,19250000000.0,4800000000.0,33320000000.0,2015-08-03,213202870000.0,4875.0,4875.0,0.24667660426244645,0.01749215951119444,1.113247346353568,1.1706830646446178,-0.030299779740300868,63.64264776119403,0.9678281810340914,-4264.0574,2480000000.0,14100000000.0,24420000000.0,21710000000.0,21020000000.0,185900000000.0,185600000000.0,174000000000.0,150300000000.0,145200000000.0,0
00138729,1,1,002310,아세아제지,715736923126.0,482415143809.0,86675299093.0,227840000000.0,152300000000.0,18590000000.0,233319999999.0,615420000000.0,79240000000.0,24800000000.0,45000000000.0,58740000000.0,2015-08-03,193460443200.0,21850.0,21850.0,0.12109938203892474,0.038535274521481935,0.4010248137579108,1.495994747209455,-0.028326204098140927,10.406694093598713,0.3143551447791752,2.441449308430086,19170000000.0,22540000000.0,4010000000.0,5090000000.0,14490000000.0,449800000000.0,232300000000.0,209900000000.0,221400000000.0,225000000000.0,0
00139889,1,1,011790,SKC,3686751079353.0,1301005063440.0,440943475258.0,940829999999.0,1332580000000.0,43310000000.0,2385750000000.0,2802240000000.0,189540000000.0,152380000000.0,55000000000.0,278660000000.0,2015-08-03,1226585086050.0,35450.0,35450.0,0.1196021824547435,0.033289647532565025,0.9427980878158726,0.7060214020914316,-1.178002257188785,28.32105947933503,0.4377159294171805,6.471378527223807,62850000000.0,81000000000.0,139260000000.0,130620000000.0,10320000000.0,1206500000000.0,1163000000000.0,1102700000000.0,1024600000000.0,871400000000.0,0
00141626,1,1,002630,오리엔트바이오,139630720799.0,61846031416.0,13240087776.0,62600000000.0,61750000000.0,-10220000000.0,77780000000.0,83720000000.0,2170000000.0,-1800000000.0,0.0,-3240000000.0,2015-08-03,204995386200.0,1435.0,1435.0,0.09482216879091568,-0.16524908334467545,3.3146085772443965,1.0137651821862348,-0.07405044709245266,-20.0582569667319,2.448583208313426,94.46791990783407,409999999.0,-5030000000.0,2350000000.0,1140000000.0,-620000000.0,50000000000.0,48500000000.0,58100000000.0,56000000000.0,54800000000.0,0
00143794,1,1,005820,원림,128988267682.0,96835731860.0,18209535738.0,60129999999.0,18690000000.0,5300000000.0,32150000000.0,82640000000.0,6690000000.0,5030000000.0,35000000000.0,8550000000.0,2015-08-03,60060000000.0,27900.0,27900.0,0.14117203110978052,0.05473186290017884,0.6202256010914606,3.217228464365971,0.4658674658508158,11.332075471698113,0.7267666989351403,8.977578475336323,4880000000.0,4370000000.0,2640000000.0,2240000000.0,3190000000.0,65500000000.0,61500000000.0,62600000000.0,62500000000.0,59100000000.0,0
00143907,1,1,012620,원일특강,167167446802.0,86718212846.0,21482972496.0,122630000000.0,55210000000.0,7830000000.0,80450000000.0,233530000000.0,13230000000.0,12110000000.0,8000000000.0,13190000000.0,2015-08-03,68200000000.0,15950.0,15950.0,0.12851169834187465,0.09029245118214138,0.7864553219185239,2.2211555877558413,0.6184750733137829,8.710089399744573,0.2920395666509656,5.154950869236584,5860000000.0,6220000000.0,7590000000.0,6790000000.0,2730000000.0,79000000000.0,73500000000.0,67500000000.0,59200000000.0,52700000000.0,0
00144395,1,1,026960,동서,1175763188639.0,1074263151879.0,92877570036.0,582150000000.0,42040000000.0,131009999999.0,101500000000.0,502660000000.0,94690000000.0,54150000000.0,60000000000.0,156630000000.0,2015-08-03,4182415000000.0,42100.0,42100.0,0.07899343246449997,0.12195335916516326,3.8932872198813793,13.847526165556614,0.1149216421612872,31.92439508458839,8.320564596347433,44.16955327912135,96000000000.0,97380000000.0,90710000000.0,116830000000.0,107820000000.0,876100000000.0,825600000000.0,767800000000.0,730100000000.0,643100000000.0,0
00144818,1,1,000220,유유제약,96264545311.0,72276479153.0,32371035602.0,43910000000.0,15560000000.0,1930000000.0,23990000000.0,61990000000.0,-780000000.0,1760000000.0,18000000000.0,4300000000.0,2015-08-03,95770298300.0,16600.0,16600.0,0.3362716304057691,0.026703016287144242,1.3250548369583224,2.8219794344473006,0.2079976814690573,49.62191621761658,1.5449314131311502,-122.78243371794872,2660000000.0,1900000000.0,1120000000.0,2270000000.0,-5690000000.0,69100000000.0,67200000000.0,70600000000.0,70500000000.0,64600000000.0,0
00145686,1,1,000760,이화산업,268063939704.0,181154950934.0,15227354418.0,50460000000.0,50030000000.0,-2890000000.0,86910000000.0,79430000000.0,-1370000000.0,-1530000000.0,0.0,-590000000.0,2015-08-03,71260000000.0,26500.0,26500.0,0.05680493405720389,-0.015953193578755187,0.3933649046443233,1.0085948430941436,-0.5115071568902609,-24.657439446366787,0.8971421377313358,-52.014598540145975,4460000000.0,-1800000000.0,7780000000.0,9580000000.0,-940000000.0,46500000000.0,42500000000.0,55700000000.0,39400000000.0,29900000000.0,0
00146083,1,1,000230,일동홀딩스,620345999427.0,332949695406.0,205943268243.0,244800000000.0,152500000000.0,11930000000.0,287400000000.0,417520000000.0,39360000000.0,14460000000.0,18200000000.0,31660000000.0,2015-08-03,775856611750.0,32000.0,32000.0,0.3319812950083103,0.0358312386664073,2.330251754109334,1.6052459016393443,-0.05490705286884474,65.03408313076278,1.8582501718480549,19.71180416031504,7200000000.0,18060000000.0,24810000000.0,18590000000.0,19120000000.0,321900000000.0,318900000000.0,304200000000.0,274800000000.0,190800000000.0,0
